Date,CPI_Headline,CPI_Food,CPI_Clothing,CPI_Housing,CPI_Health,CPI_Transport,CPI_Education
2022-07-01,183.3491269953184,195.27452150866463,171.40384615384613,173.028482840943,171.6498786653185,245.2511840534734,159.53222346368713
2022-08-01,187.84009306785492,197.80964974515803,176.20681318681318,182.45722888689946,173.6370879676441,244.54615898782527,161.30842458100557
2022-09-01,185.6779102036212,209.21251946992862,176.72813186813187,150.23749447925994,177.44521739130437,249.963690618286,161.3161787709497
2022-10-01,194.41582943200407,221.00498470948014,178.47692307692307,166.55863563115489,182.4731041456016,245.43875865361662,162.86689385474858
2022-11-01,195.88902039032095,221.1407637104995,182.32021978021976,167.47635571471204,186.02119817997976,245.27376939603727,163.4512625698324
2022-12-01,196.85587596593155,220.82092640163097,183.6201098901099,167.50806803939122,189.6330131445905,243.28000477440915,163.8863910614525
2023-01-01,202.5295360708444,231.88779001019367,184.5146153846154,170.52517934944794,193.12691102123358,242.15249701599427,164.0535530726257
2023-02-01,211.27810085171188,241.276572069317,186.6531868131868,176.82806803939124,197.2541253791709,271.2411983767009,164.80377653631285
2023-03-01,219.13854673134412,250.25437798165137,196.49714285714285,178.7990188003581,197.83825581395348,280.1998734781571,166.90174301675975
2023-04-01,224.4107716171245,261.16979204892965,200.17087912087914,176.76700328260222,200.05745197168858,284.7449248030556,170.0233072625698
2023-05-01,227.9616866433527,264.4496293577982,202.95164835164834,177.92453178155773,201.94028311425683,285.362475531153,171.62954189944134
2023-06-01,227.37270376219755,261.77985647298675,205.1556043956044,177.51145150701285,204.0985389282103,279.238727619957,172.26086033519553
2023-07-01,235.23277807546955,272.4413308868502,206.29395604395603,191.79107191883023,208.5774924165824,278.6049295774648,172.26861452513967
2023-08-01,239.269336397992,273.98932884811416,208.73626373626374,193.85707967770816,212.79692618806877,300.6828336118406,178.190938547486
2023-09-01,244.04794771278694,278.4801276248726,213.04505494505494,194.86388660101466,222.30514661274015,328.10693721651944,179.25069273743014
2023-10-01,246.68750183315473,280.2654185524975,215.310989010989,200.69719486720385,228.4355915065723,322.33217713058013,183.7418100558659
2023-11-01,253.15003750916577,282.948598980632,220.37846153846152,222.69341271262311,232.27562689585443,310.3368751492003,185.61832402234634
2023-12-01,255.2350119860116,281.5489932721713,221.64043956043955,230.62352790211878,233.93392821031347,312.8605490570542,186.04480446927374
2024-01-01,259.9184769304529,289.7678691131499,223.27747252747253,236.42870008952553,234.59951466127401,305.4804153735975,186.1533631284916
2024-02-01,260.0083793502171,285.06073883792044,224.43208791208792,240.629230080573,235.39145601617798,311.9329076151826,186.1533631284916
2024-03-01,264.46,293.36,228.13,244.24,236.68,311.46,187.5
2024-04-01,263.3207806418862,286.4321443425076,238.3768131868132,239.8123479558341,237.2901213346815,320.28183576032467,196.2000782122905
2024-05-01,254.7795961419144,264.0104236493374,239.4646153846154,236.6316251865115,241.166809908999,315.0567032704703,199.00022346368715
2024-06-01,255.94266625303177,264.33204607543325,241.67505494505497,240.1507508206506,244.56369565217392,308.2291549295775,199.58061452513965
2024-07-01,261.3158339443849,276.6886340468909,243.80703296703297,240.30846971053418,248.47794742163802,312.5416567199809,199.73332960893856
2024-08-01,262.3247192453043,280.72207094801223,244.84296703296704,236.93288033422857,250.62649140546006,310.2166101694915,200.98227932960896
2024-09-01,260.96065979468665,276.84810642201836,246.10571428571427,235.52158758579532,252.73572800808898,304.2791191215087,201.791061452514
2024-10-01,264.17481682554006,282.8592305810397,246.7564835164835,239.31158758579528,256.50803336703746,299.63414896156604,202.16271508379887
2024-11-01,265.46278710023125,282.2798271151886,252.0564835164835,240.27295672933454,262.62220424671386,301.79414657436143,205.21011173184357
2024-12-01,265.62724138417286,282.3204632008155,253.5254945054945,238.42558102059087,265.0007431749242,304.9778944855574,205.24888268156425
2025-01-01,266.17107789497436,280.6868636085627,254.8035164835165,240.05618979409132,267.6485136501517,307.6091620911912,205.4818100558659
2025-02-01,263.95098031473856,273.24330356778796,255.4108791208791,239.26318591465235,269.1561627906977,308.55043447123415,206.37948603351956
2025-03-01,266.2937764397315,278.3444130479103,258.983956043956,238.95349030140258,269.3354347826087,307.7129434232514,209.89277094972064
2025-04-01,264.05729243048114,272.611977166157,260.0641758241758,233.53303312444046,270.8681496461072,307.7467199809023,217.61618994413408
2025-05-01,263.6017001804952,272.120350254842,262.5882417582418,230.65915487914057,271.9107785642062,307.1954476008594,219.09544134078212
2025-06-01,264.2201396017824,271.10221896024467,263.30813186813185,232.27603700387942,274.2820323559151,310.1004440200525,219.676
2025-07-01,271.94091051384737,279.1475641182467,264.1710989010989,248.8717344076395,275.2390343781598,321.0354046311769,220.14935195530725
2025-08-01,270.35,275.7,264.7,246.24,277.2,317.93,222.97
2025-09-01,276.01,290.74,265.79,245.81,279.49,317.05,223.43
2025-10-01,280.66,298.58,266.67,249.46,281.37,319.76,223.61
2025-11-01,281.78,297.9,268.48,253.1,284.42,320.24,223.61
2025-12-01,280.53,291.47,269.3,254.79,285.52,320.05,225.58
2026-01-01,281.6183050369451,291.6335102956167,270.2567032967033,257.5628015517756,286.76315975733064,315.65288851754593,226.13444692737428
2026-02-01,282.38620099836425,289.14034454638124,271.1912087912088,262.352345568487,288.52097067745194,309.69296013368347,226.2767374301676
2026-03-01,285.72761295053306,288.2238209989806,274.00593406593407,266.40398149806026,289.1595551061679,346.1341752208164,228.85418994413408
